Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,Area,Weight,is_pareto
krnl_KALMAN_1566.cpp,xczu7ev-ffvc1156-2-e,5.0,4.864245,91,92,1,2,12,block_16_1,cyclic_4_1,block_2_1,block_4_1,block_16_1,cyclic_16_1,pipeline,unroll,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll,26.75,0.9924854862807081,False
krnl_KALMAN_1567.cpp,xczu7ev-ffvc1156-2-e,5.0,8.448415,62,92,1,2,10,block_4_1,cyclic_4_1,block_8_1,block_4_1,cyclic_8_1,cyclic_16_1,pipeline,pipeline_1,unroll_2,unroll_2,unroll,pipeline,pipeline,26.25,0.9407968917591533,False
krnl_KALMAN_1568.cpp,xczu7ev-ffvc1156-2-e,5.0,47.933855,188,94,1,4,27,block_32_1,block_16_1,block_2_1,block_16_1,block_8_1,cyclic_2_1,pipeline,pipeline_1,unroll_2,unroll_4,unroll,unroll_8,unroll,31.5,0.26055340629219814,False
krnl_KALMAN_1569.cpp,xczu7ev-ffvc1156-2-e,5.0,2.19164,264,92,7,26,70,block_4_1,cyclic_8_1,block_2_1,block_16_1,block_16_1,complete_1,pipeline,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_2,unroll,48.75,0.32659020340512845,False
krnl_KALMAN_1570.cpp,xczu7ev-ffvc1156-2-e,5.0,4.669455,217,92,7,23,47,block_4_1,block_8_1,block_2_1,cyclic_4_1,block_8_1,cyclic_4_1,pipeline,unroll,pipeline_1,unroll_2,pipeline_1,pipeline,pipeline,42.25,0.4949933203420671,False
krnl_KALMAN_1571.cpp,xczu7ev-ffvc1156-2-e,5.0,7.874805,87,92,1,2,18,cyclic_8_1,cyclic_4_1,cyclic_4_1,block_4_1,cyclic_2_1,cyclic_16_1,pipeline,unroll,unroll_2,unroll_4,unroll_2,pipeline,unroll,28.25,0.901730863765234,False
krnl_KALMAN_1572.cpp,xczu7ev-ffvc1156-2-e,5.0,5.03819,135,92,7,24,48,block_4_1,cyclic_4_1,block_4_1,block_4_1,cyclic_8_1,cyclic_16_1,pipeline,unroll,pipeline_1,unroll_2,pipeline_1,pipeline,pipeline,42.75,0.47993613558526693,False
krnl_KALMAN_1573.cpp,xczu7ev-ffvc1156-2-e,5.0,5.657865,77,92,1,3,14,cyclic_8_1,cyclic_8_1,block_8_1,block_4_1,block_32_1,cyclic_32_1,pipeline,unroll,unroll_4,unroll_2,unroll_2,pipeline,unroll,27.5,0.9593864504079527,False
krnl_KALMAN_1574.cpp,xczu7ev-ffvc1156-2-e,5.0,43.13111,633,92,14,13,42,block_16_1,cyclic_4_1,cyclic_4_1,block_8_1,block_8_1,complete_1,pipeline_1,unroll,unroll_2,unroll_4,unroll_2,unroll,unroll,40.25,0.23829681344881024,False
krnl_KALMAN_1575.cpp,xczu7ev-ffvc1156-2-e,5.0,2.703445,327,92,7,7,23,block_16_1,block_8_1,block_2_1,block_16_1,block_8_1,cyclic_2_1,pipeline,unroll,pipeline_1,unroll_2,unroll,unroll_8,unroll,32.25,0.8443321511859971,False
krnl_KALMAN_1576.cpp,xczu7ev-ffvc1156-2-e,5.0,8.448415,63,92,1,2,10,block_4_1,cyclic_4_1,block_2_1,block_4_1,cyclic_8_1,cyclic_16_1,pipeline,pipeline,unroll_2,unroll_2,unroll,pipeline,pipeline,26.25,0.9407968917591533,False
krnl_KALMAN_1577.cpp,xczu7ev-ffvc1156-2-e,5.0,2.621535,139,92,7,7,22,block_4_1,block_8_1,cyclic_4_1,complete_1,block_8_1,complete_1,pipeline,unroll,pipeline_1,unroll_2,unroll_2,unroll,unroll,32.0,0.8540252214275366,False
krnl_KALMAN_1578.cpp,xczu7ev-ffvc1156-2-e,5.0,6.154485,73,92,1,2,12,block_4_1,cyclic_8_1,block_4_1,block_4_1,cyclic_8_1,cyclic_16_1,pipeline,unroll,unroll_2,unroll_2,pipeline_1,pipeline,unroll,26.75,0.9726238934803374,False
krnl_KALMAN_1579.cpp,xczu7ev-ffvc1156-2-e,5.0,1.70012,598,92,7,26,70,cyclic_8_1,cyclic_8_1,block_2_1,block_4_1,cyclic_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_8,unroll,48.75,0.32642265589260305,False
krnl_KALMAN_1580.cpp,xczu7ev-ffvc1156-2-e,5.0,6.149555,82,92,1,3,14,block_16_1,cyclic_4_1,block_8_1,block_4_1,cyclic_8_1,cyclic_2_1,pipeline,pipeline_1,unroll_4,unroll_2,unroll_2,pipeline,unroll,27.5,0.9511365045316377,False
krnl_KALMAN_1581.cpp,xczu7ev-ffvc1156-2-e,5.0,1.88427,306,92,7,25,58,cyclic_8_1,cyclic_8_1,block_32_1,cyclic_4_1,block_16_1,cyclic_2_1,pipeline_1,unroll,pipeline,unroll_4,unroll,unroll_4,unroll,45.5,0.4052622612121195,False
krnl_KALMAN_1582.cpp,xczu7ev-ffvc1156-2-e,5.0,4.4854,314,92,7,7,19,block_4_1,block_8_1,block_8_1,block_16_1,cyclic_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll,pipeline,pipeline,31.25,0.8664785847312849,False
krnl_KALMAN_1583.cpp,xczu7ev-ffvc1156-2-e,5.0,2.25334,159,92,7,8,30,block_2_1,block_8_1,block_2_1,block_16_1,block_8_1,cyclic_16_1,pipeline,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll,unroll,34.25,0.7675675878734655,False
krnl_KALMAN_1584.cpp,xczu7ev-ffvc1156-2-e,5.0,4.424,229,92,7,7,27,block_4_1,block_8_1,cyclic_4_1,complete_1,block_8_1,complete_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,pipeline,33.25,0.7996539292487769,False
krnl_KALMAN_1585.cpp,xczu7ev-ffvc1156-2-e,5.0,4.505935,255,92,7,6,19,block_4_1,block_8_1,block_2_1,block_16_1,block_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_2,pipeline,31.0,0.8732329165892969,False
krnl_KALMAN_1586.cpp,xczu7ev-ffvc1156-2-e,5.0,2.6219,146,92,7,8,23,block_8_1,block_16_1,block_4_1,cyclic_4_1,block_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll,unroll,unroll,32.5,0.8349628379449832,False
