Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,Area,Weight,is_pareto
workload_2099.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5395236,579,1,1,18,73,block_4_1,cyclic_128_1,unroll_8,pipeline_1,unroll_16,unroll_64,23.25,0.34381013053872034,False
workload_2100.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5395236,497,1,1,18,71,cyclic_4_1,cyclic_256_1,unroll_64,pipeline,unroll_32,unroll_64,22.75,0.36489449837958265,False
workload_2101.cpp,xczu7ev-ffvc1156-2-e,3.33,3.54293352,486,1,1,18,75,cyclic_128_1,cyclic_256_1,pipeline_1,pipeline,unroll_16,unroll_64,23.75,0.32360065126600845,False
workload_2102.cpp,xczu7ev-ffvc1156-2-e,3.33,3.55315329,637,3,1,11,78,block_8_1,block_2_1,unroll_64,pipeline_1,unroll_32,unroll_64,23.25,0.3438127058684224,False
workload_2103.cpp,xczu7ev-ffvc1156-2-e,3.33,3.54293352,495,1,1,15,81,cyclic_256_1,cyclic_256_1,unroll_16,pipeline,unroll_16,unroll_64,24.5,0.2949243219943498,False
workload_2104.cpp,xczu7ev-ffvc1156-2-e,3.33,4.44567321,101,2,1,1,6,cyclic_4_1,block_2_1,unroll_64,pipeline_1,unroll_64,pipeline,2.5,0.9834601559287428,False
workload_2105.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497433700000003,655,2,1,15,74,cyclic_2_1,cyclic_8_1,unroll_16,pipeline_1,unroll_32,unroll_64,23.0,0.35424498859673315,False
workload_2106.cpp,xczu7ev-ffvc1156-2-e,3.33,3.61106199,128,1,1,3,15,cyclic_128_1,block_64_1,unroll_64,pipeline,unroll_32,pipeline_1,5.0,0.8925988112420629,False
workload_2107.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497433700000003,569,1,1,13,77,block_2_1,block_2_1,unroll_64,pipeline,unroll_64,unroll_64,23.0,0.35424498859673315,False
workload_2108.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497433700000003,566,2,1,15,74,cyclic_2_1,cyclic_8_1,unroll_16,pipeline_1,unroll_4,unroll_64,23.0,0.35424498859673315,False
workload_2109.cpp,xczu7ev-ffvc1156-2-e,3.33,3.54293352,477,1,1,18,72,cyclic_64_1,block_512_1,unroll_32,pipeline,unroll_16,unroll_64,23.0,0.3542438315301565,False
