Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,Area,Weight,is_pareto
workload_115.cpp,xcu200-fsgd2104-2-e,10.0,1.53858,293,1,1,2,3,complete_1,unroll_8,unroll_2,1.75,0.4175623673195389,False
workload_116.cpp,xcu200-fsgd2104-2-e,10.0,1.3245,854,1,1,9,15,complete_1,unroll_32,pipeline_1,6.5,0.27887464767210135,False
workload_117.cpp,xcu200-fsgd2104-2-e,10.0,1.59042,1659,1,1,7,9,complete_1,unroll_32,unroll_2,4.5,0.2963632884093514,False
workload_118.cpp,xcu200-fsgd2104-2-e,10.0,1.17506,147,1,1,1,3,complete_1,unroll_4,pipeline_1,1.5,0.557645514138227,False
workload_119.cpp,xcu200-fsgd2104-2-e,10.0,1.25954,303,1,1,2,2,complete_1,unroll_4,unroll,1.5,0.5253928142924058,False
workload_120.cpp,xcu200-fsgd2104-2-e,10.0,1.16098,227,1,1,2,5,complete_1,unroll_8,pipeline_1,2.25,0.5275480389330818,False
workload_121.cpp,xcu200-fsgd2104-2-e,10.0,1.6557,399,1,1,5,8,complete_1,unroll_16,pipeline,3.75,0.30384876694052376,False
workload_122.cpp,xcu200-fsgd2104-2-e,10.0,1.30754,409,1,1,5,8,complete_1,unroll_16,pipeline_1,3.75,0.4060908467993959,False
workload_123.cpp,xcu200-fsgd2104-2-e,10.0,0.25726,122,1,1,1,2,complete_1,pipeline,pipeline,1.25,1.0,True
workload_124.cpp,xcu200-fsgd2104-2-e,10.0,0.25726,120,1,1,1,2,complete_1,pipeline_1,pipeline_1,1.25,1.0,True
workload_125.cpp,xcu200-fsgd2104-2-e,10.0,0.26754,127,1,1,1,2,complete_1,pipeline_1,unroll,1.25,0.9944018439444527,False
workload_126.cpp,xcu200-fsgd2104-2-e,10.0,1.33634,605,1,1,3,4,complete_1,unroll_8,unroll,2.25,0.46458101723836354,False
workload_127.cpp,xcu200-fsgd2104-2-e,10.0,1.32866,2001,1,1,6,8,complete_1,unroll_16,unroll,4.0,0.38826415367420075,False
workload_128.cpp,xcu200-fsgd2104-2-e,5.0,0.90113,212,1,1,1,2,complete_1,unroll_2,unroll,1.25,0.5701290775276314,False
workload_129.cpp,xcu200-fsgd2104-2-e,5.0,1.04705,121,1,1,1,2,complete_1,unroll_2,pipeline_1,1.25,0.5044391327974198,False
workload_130.cpp,xcu200-fsgd2104-2-e,5.0,0.128955,132,1,1,1,2,complete_1,pipeline,pipeline_1,1.25,1.0,True
workload_131.cpp,xcu200-fsgd2104-2-e,5.0,1.31249,992,1,1,11,14,complete_1,unroll_32,pipeline,6.75,0.19196773233972925,False
workload_132.cpp,xcu200-fsgd2104-2-e,5.0,1.23585,246,1,1,3,4,complete_1,unroll_8,pipeline,2.25,0.364488867537629,False
workload_133.cpp,xcu200-fsgd2104-2-e,5.0,0.128985,136,1,1,1,2,complete_1,pipeline_1,unroll_2,1.25,0.9999806112718975,False
workload_134.cpp,xcu200-fsgd2104-2-e,5.0,1.13753,3005,1,1,19,29,complete_1,unroll_64,pipeline_1,12.5,0.10215121533399223,False
workload_138.cpp,xcu200-fsgd2104-2-e,5.0,1.08545,144,1,1,1,1,complete_1,unroll_2,unroll_2,1.0,1.0,True
workload_139.cpp,xcu200-fsgd2104-2-e,5.0,1.25697,117,1,1,1,1,complete_1,unroll_2,pipeline,1.0,0.3678273063152191,False
workload_140.cpp,xcu200-fsgd2104-2-e,5.0,0.128955,136,1,1,1,2,complete_1,pipeline_1,pipeline,1.25,1.0,True
workload_141.cpp,xcu200-fsgd2104-2-e,5.0,0.128985,139,1,1,1,2,complete_1,pipeline,unroll_2,1.25,0.9999806112718975,False
workload_142.cpp,xcu200-fsgd2104-2-e,5.0,0.128985,143,1,1,1,2,complete_1,pipeline,unroll,1.25,0.9999806112718975,False
workload_143.cpp,xcu200-fsgd2104-2-e,5.0,1.24289,155,1,1,1,2,complete_1,unroll_4,pipeline,1.25,0.376955676026814,False
workload_144.cpp,xcu200-fsgd2104-2-e,5.0,1.07265,219,1,1,1,2,complete_1,unroll_4,unroll_2,1.25,0.49342404455167554,False
workload_145.cpp,xcu200-fsgd2104-2-e,5.0,1.08161,391,1,1,2,3,complete_1,unroll_8,unroll_2,1.75,0.4680360019791403,False
workload_146.cpp,xcu200-fsgd2104-2-e,5.0,1.31161,2948,1,1,21,27,complete_1,unroll_64,pipeline,12.5,0.10000000000000002,False
workload_147.cpp,xcu200-fsgd2104-2-e,5.0,1.13473,796,1,1,3,5,complete_1,unroll_16,unroll_2,2.5,0.4120219098849637,False
workload_148.cpp,xcu200-fsgd2104-2-e,5.0,1.13841,994,1,1,10,15,complete_1,unroll_32,pipeline_1,6.75,0.23521198187972597,False
workload_149.cpp,xcu200-fsgd2104-2-e,5.0,1.13313,2483,1,1,7,9,complete_1,unroll_32,unroll_2,4.5,0.3275992104469716,False
workload_150.cpp,xcu200-fsgd2104-2-e,5.0,0.128985,137,1,1,1,2,complete_1,pipeline_1,unroll,1.25,0.9999806112718975,False
workload_151.cpp,xcu200-fsgd2104-2-e,5.0,1.03297,159,1,1,1,3,complete_1,unroll_4,pipeline_1,1.5,0.49954847503973254,False
workload_152.cpp,xcu200-fsgd2104-2-e,5.0,1.02593,252,1,1,2,4,complete_1,unroll_8,pipeline_1,2.0,0.48001733762455057,False
workload_153.cpp,xcu200-fsgd2104-2-e,5.0,0.128955,131,1,1,1,2,complete_1,pipeline,pipeline,1.25,1.0,True
workload_154.cpp,xcu200-fsgd2104-2-e,5.0,0.89601,409,1,1,2,2,complete_1,unroll_4,unroll,1.5,0.5606731679469248,False
workload_155.cpp,xcu200-fsgd2104-2-e,5.0,1.12481,464,1,1,5,8,complete_1,unroll_16,pipeline_1,3.75,0.3628824483857034,False
workload_156.cpp,xcu200-fsgd2104-2-e,5.0,0.128955,131,1,1,1,2,complete_1,pipeline_1,pipeline_1,1.25,1.0,True
workload_157.cpp,xcu200-fsgd2104-2-e,5.0,1.30401,443,1,1,5,7,complete_1,unroll_16,pipeline,3.5,0.2930999287793826,False
workload_158.cpp,xcu200-fsgd2104-2-e,5.0,0.99073,870,1,1,3,4,complete_1,unroll_8,unroll,2.25,0.48313930993408694,False
workload_159.cpp,xcu200-fsgd2104-2-e,5.0,0.98689,3057,1,1,6,8,complete_1,unroll_16,unroll,4.0,0.39977467368247344,False
workload_160.cpp,xcu200-fsgd2104-2-e,3.33,0.72972954,238,1,1,1,2,complete_1,unroll_2,unroll,1.25,0.5812180204990207,False
workload_161.cpp,xcu200-fsgd2104-2-e,3.33,0.83714202,122,1,1,1,1,complete_1,unroll_2,pipeline_1,1.0,1.0,True
workload_162.cpp,xcu200-fsgd2104-2-e,3.33,0.08607717,137,1,1,1,2,complete_1,pipeline,pipeline_1,1.25,1.0,True
workload_163.cpp,xcu200-fsgd2104-2-e,3.33,1.09917306,1078,1,1,11,14,complete_1,unroll_32,pipeline,6.75,0.191179160553973,False
workload_164.cpp,xcu200-fsgd2104-2-e,3.33,1.03790106,260,1,1,3,4,complete_1,unroll_8,pipeline,2.25,0.3429315636980428,False
workload_165.cpp,xcu200-fsgd2104-2-e,3.33,0.0962902799999999,142,1,1,1,2,complete_1,pipeline_1,unroll_2,1.25,0.992339720933051,False
workload_169.cpp,xcu200-fsgd2104-2-e,3.33,0.90081162,3217,1,1,19,27,complete_1,unroll_64,pipeline_1,12.0,0.11152965089297745,False
workload_170.cpp,xcu200-fsgd2104-2-e,3.33,0.08607717,140,1,1,1,2,complete_1,pipeline_1,pipeline,1.25,1.0,True
workload_171.cpp,xcu200-fsgd2104-2-e,3.33,0.0962902799999999,145,1,1,1,2,complete_1,pipeline,unroll_2,1.25,0.992339720933051,False
workload_172.cpp,xcu200-fsgd2104-2-e,3.33,0.0962902799999999,146,1,1,1,2,complete_1,pipeline,unroll,1.25,0.992339720933051,False
workload_173.cpp,xcu200-fsgd2104-2-e,3.33,0.86612634,150,1,1,1,1,complete_1,unroll_2,unroll_2,1.0,0.5057766585802909,False
workload_174.cpp,xcu200-fsgd2104-2-e,3.33,1.0425897000000002,165,1,1,1,2,complete_1,unroll_4,pipeline,1.25,0.3507732592233017,False
workload_175.cpp,xcu200-fsgd2104-2-e,3.33,1.05196698,120,1,1,1,1,complete_1,unroll_2,pipeline,1.0,0.3439291618587493,False
workload_176.cpp,xcu200-fsgd2104-2-e,3.33,0.8712412199999999,247,1,1,1,2,complete_1,unroll_4,unroll_2,1.25,0.49788021282702644,False
workload_177.cpp,xcu200-fsgd2104-2-e,3.33,0.8772085800000001,466,1,1,2,3,complete_1,unroll_8,unroll_2,1.75,0.4773240498785808,False
workload_178.cpp,xcu200-fsgd2104-2-e,3.33,0.92281626,970,1,1,4,5,complete_1,unroll_16,unroll_2,2.75,0.4089179800049316,False
workload_179.cpp,xcu200-fsgd2104-2-e,3.33,1.09858698,3265,1,1,22,27,complete_1,unroll_64,pipeline,12.75,0.10000000000000002,False
workload_180.cpp,xcu200-fsgd2104-2-e,3.33,0.9013977,1052,1,1,10,14,complete_1,unroll_32,pipeline_1,6.5,0.26423791260564267,False
workload_181.cpp,xcu200-fsgd2104-2-e,3.33,0.92175066,3194,1,1,7,9,complete_1,unroll_32,unroll_2,4.5,0.33868599479576594,False
workload_182.cpp,xcu200-fsgd2104-2-e,3.33,0.08607717,138,1,1,1,2,complete_1,pipeline_1,pipeline_1,1.25,1.0,True
workload_183.cpp,xcu200-fsgd2104-2-e,3.33,0.0962902799999999,144,1,1,1,2,complete_1,pipeline_1,unroll,1.25,0.992339720933051,False
workload_184.cpp,xcu200-fsgd2104-2-e,3.33,0.8230761,260,1,1,2,4,complete_1,unroll_8,pipeline_1,2.0,0.49782800382043124,False
workload_185.cpp,xcu200-fsgd2104-2-e,3.33,0.08607717,137,1,1,1,2,complete_1,pipeline,pipeline,1.25,1.0,True
workload_186.cpp,xcu200-fsgd2104-2-e,3.33,1.0935253800000002,480,1,1,5,7,complete_1,unroll_16,pipeline,3.5,0.28027635577886356,False
workload_187.cpp,xcu200-fsgd2104-2-e,3.33,0.7229097000000001,483,1,1,2,2,complete_1,unroll_4,unroll,1.5,0.5732923241654612,False
workload_188.cpp,xcu200-fsgd2104-2-e,3.33,0.82776474,167,1,1,1,3,complete_1,unroll_4,pipeline_1,1.5,0.5178894608176003,False
workload_189.cpp,xcu200-fsgd2104-2-e,3.33,0.88893018,489,1,1,5,7,complete_1,unroll_16,pipeline_1,3.5,0.3972760256818848,False
workload_190.cpp,xcu200-fsgd2104-2-e,3.33,0.8098626600000001,1065,1,1,3,4,complete_1,unroll_8,unroll,2.25,0.49286907489151155,False
