Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,Area,Weight,is_pareto
workload_3995.cpp,xcu200-fsgd2104-2-e,3.33,14.50242306,62,1,1,1,1,cyclic_4_1,block_8_1,complete_1,pipeline,pipeline,unroll_32,unroll_2,pipeline,1.0,0.9175646584291106,False
workload_3996.cpp,xcu200-fsgd2104-2-e,3.33,10.87298946,85,1,1,1,1,block_64_1,cyclic_4_1,complete_1,pipeline_1,pipeline,pipeline_1,unroll_32,pipeline,1.0,0.9585162645609334,False
workload_3997.cpp,xcu200-fsgd2104-2-e,3.33,10.78220034,548,1,4,2,5,block_16_1,block_32_1,complete_1,unroll_64,pipeline,unroll_8,pipeline,pipeline,3.0,0.5828208215577555,False
workload_3998.cpp,xcu200-fsgd2104-2-e,3.33,77.04568386,61,1,1,1,1,cyclic_8_1,cyclic_4_1,complete_1,pipeline,unroll_8,unroll_16,unroll_32,pipeline,1.0,0.36908078180513204,False
workload_3999.cpp,xcu200-fsgd2104-2-e,3.33,11.09591298,576,1,3,3,5,block_16_1,block_32_1,complete_1,unroll_64,unroll_16,unroll_16,pipeline,pipeline_1,3.0,0.5825824500415906,False
workload_4000.cpp,xcu200-fsgd2104-2-e,3.33,10.82996586,1293,1,13,9,11,block_64_1,cyclic_128_1,complete_1,unroll_64,unroll_16,unroll_4,pipeline,pipeline_1,8.5,0.10000000007729246,False
workload_4001.cpp,xcu200-fsgd2104-2-e,3.33,11.49830019,1242,1,1,2,5,block_8_1,cyclic_128_1,complete_1,unroll_64,unroll_16,unroll_2,pipeline,pipeline_1,2.25,0.7217208686170257,False
workload_4002.cpp,xcu200-fsgd2104-2-e,3.33,81.75371778,144,1,1,1,4,block_64_1,block_64_1,complete_1,unroll_16,unroll_8,unroll_16,unroll_8,pipeline_1,1.75,0.3304162694785232,False
workload_4003.cpp,xcu200-fsgd2104-2-e,3.33,10.7753805,480,1,1,1,2,cyclic_8_1,block_32_1,complete_1,pipeline_1,pipeline,unroll_64,pipeline_1,pipeline,1.25,0.928900528791672,False
workload_4004.cpp,xcu200-fsgd2104-2-e,3.33,7.28363241,540,1,1,1,2,block_16_1,cyclic_64_1,complete_1,unroll_8,pipeline,pipeline_1,pipeline,pipeline,1.25,0.9410159326800708,False
workload_4005.cpp,xcu200-fsgd2104-2-e,3.33,11.04136425,593,1,3,3,6,block_16_1,cyclic_128_1,complete_1,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll,3.25,0.5398547928259176,False
workload_4006.cpp,xcu200-fsgd2104-2-e,3.33,8.756707859999999,541,1,1,1,2,block_2_1,block_16_1,complete_1,pipeline_1,pipeline,unroll_8,pipeline_1,pipeline_1,1.25,0.9386739190570788,False
workload_4007.cpp,xcu200-fsgd2104-2-e,3.33,8.756707859999999,544,1,1,1,2,cyclic_32_1,block_128_1,complete_1,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline_1,1.25,0.9386739190570788,False
workload_4008.cpp,xcu200-fsgd2104-2-e,3.33,14.08982274,1867,1,1,1,3,block_2_1,block_16_1,complete_1,unroll_2,unroll_8,unroll_2,pipeline_1,unroll,1.5,0.8617898949645424,False
workload_4009.cpp,xcu200-fsgd2104-2-e,3.33,11.06183043,1195,1,3,3,6,block_16_1,cyclic_128_1,complete_1,unroll_64,unroll_16,unroll_8,pipeline,pipeline_1,3.25,0.5398411826050005,False
workload_4010.cpp,xcu200-fsgd2104-2-e,3.33,14.158037790000002,1118,1,1,1,3,cyclic_2_1,cyclic_128_1,complete_1,unroll_64,unroll_8,unroll_4,pipeline,pipeline_1,1.5,0.8613828248047285,False
workload_4011.cpp,xcu200-fsgd2104-2-e,3.33,12.75847209,78,1,1,1,1,cyclic_2_1,cyclic_32_1,complete_1,unroll_16,unroll_32,unroll_64,unroll_32,unroll,1.0,0.9371170973174089,False
workload_4012.cpp,xcu200-fsgd2104-2-e,3.33,17.96093442,87,1,1,1,1,block_8_1,block_128_1,complete_1,unroll_2,pipeline,pipeline,unroll_16,unroll,1.0,0.8794727381704723,False
workload_4013.cpp,xcu200-fsgd2104-2-e,3.33,10.87618626,71,1,1,1,1,cyclic_32_1,cyclic_4_1,complete_1,pipeline_1,pipeline,unroll_64,unroll_32,pipeline,1.0,0.9584797541166297,False
