Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
workload_442.cpp,xczu7ev-ffvc1156-2-e,10.0,14.84234,379,17,1,1,21,cyclic_2_1,block_4_1,block_8_1,unroll_4,pipeline,pipeline_1,unroll_4,pipeline,unroll_8,pipeline,pipeline,unroll,10.0,0.8717226424796924,False
workload_444.cpp,xczu7ev-ffvc1156-2-e,10.0,14.4993,532,13,1,4,23,cyclic_4_1,cyclic_4_1,block_4_1,unroll_4,unroll_4,unroll_4,unroll_4,unroll_8,unroll_32,pipeline,unroll,unroll,10.25,0.8660693695665028,False
workload_445.cpp,xczu7ev-ffvc1156-2-e,10.0,14.53553,283,12,1,2,15,cyclic_2_1,cyclic_4_1,cyclic_8_1,unroll_4,pipeline,pipeline_1,unroll,pipeline,pipeline_1,pipeline,pipeline,pipeline_1,7.5,0.9363939275286451,False
workload_446.cpp,xczu7ev-ffvc1156-2-e,10.0,14.24894,310,96,1,2,14,cyclic_4_1,block_64_1,cyclic_8_1,unroll_4,unroll_4,unroll_2,unroll_2,pipeline,unroll_16,unroll_2,pipeline_1,unroll,28.25,0.36721322189805583,False
workload_447.cpp,xczu7ev-ffvc1156-2-e,10.0,18.22892,332,12,1,2,12,cyclic_2_1,block_4_1,cyclic_2_1,unroll_4,pipeline,unroll_2,unroll_2,pipeline,unroll_16,pipeline,pipeline_1,unroll,6.75,0.9489655106270033,False
workload_448.cpp,xczu7ev-ffvc1156-2-e,10.0,9.8483,290,91,1,2,10,cyclic_4_1,block_16_1,cyclic_2_1,unroll_4,unroll_4,unroll_2,unroll_2,pipeline,unroll_16,pipeline,pipeline,unroll,26.0,0.4372910117043999,False
workload_450.cpp,xczu7ev-ffvc1156-2-e,10.0,88.52674,205,13,1,1,8,cyclic_4_1,cyclic_8_1,cyclic_2_1,unroll_4,unroll_4,unroll_2,unroll,unroll_2,unroll_32,unroll_16,pipeline,unroll,5.75,0.7353386302583177,False
workload_451.cpp,xczu7ev-ffvc1156-2-e,10.0,10.4527,931,96,1,2,32,cyclic_4_1,block_16_1,complete_1,unroll_2,unroll_4,pipeline_1,unroll_4,pipeline,pipeline_1,unroll_16,pipeline,unroll,32.75,0.251998116782863,False
workload_452.cpp,xczu7ev-ffvc1156-2-e,10.0,22.68618,245,13,1,1,12,cyclic_4_1,cyclic_4_1,block_4_1,unroll_2,pipeline,pipeline_1,unroll_4,pipeline,unroll_16,pipeline,pipeline,unroll,6.75,0.9381534346837396,False
workload_453.cpp,xczu7ev-ffvc1156-2-e,10.0,9.32801,432,12,1,3,25,cyclic_2_1,cyclic_4_1,complete_1,unroll_4,pipeline_1,unroll_4,unroll,unroll_8,pipeline_1,pipeline,unroll,unroll,10.25,0.8749888997494941,False
workload_456.cpp,xczu7ev-ffvc1156-2-e,10.0,6.42746,191,91,1,2,10,cyclic_4_1,cyclic_8_1,cyclic_8_1,unroll_4,unroll_4,unroll_2,unroll,pipeline,unroll_32,pipeline,pipeline,unroll,26.0,0.4373193699381507,False
workload_457.cpp,xczu7ev-ffvc1156-2-e,10.0,30.0591,338,13,1,1,12,cyclic_4_1,cyclic_8_1,complete_1,unroll_4,pipeline,unroll_2,unroll_4,pipeline,unroll_32,pipeline,pipeline,unroll,6.75,0.9170513314455789,False
workload_459.cpp,xczu7ev-ffvc1156-2-e,10.0,6.42407,473,75,1,3,23,cyclic_2_1,block_16_1,cyclic_8_1,unroll_4,unroll,unroll_4,unroll,pipeline,unroll_32,pipeline,pipeline_1,pipeline_1,25.5,0.45394623031659054,False
workload_460.cpp,xczu7ev-ffvc1156-2-e,10.0,84.42754,278,12,1,1,13,cyclic_2_1,cyclic_4_1,cyclic_8_1,unroll_4,pipeline_1,unroll_2,unroll_4,unroll_2,pipeline_1,unroll_16,pipeline_1,unroll,6.75,0.7421302461619219,False
workload_463.cpp,xczu7ev-ffvc1156-2-e,10.0,7.5689,150,91,1,1,6,cyclic_4_1,cyclic_8_1,cyclic_8_1,unroll_2,unroll_4,unroll_2,unroll_4,pipeline,unroll_16,unroll_16,pipeline,pipeline_1,24.75,0.47964986644482444,False
workload_464.cpp,xczu7ev-ffvc1156-2-e,10.0,6.42423,451,91,1,3,22,cyclic_4_1,cyclic_4_1,block_4_1,unroll_4,unroll,unroll_2,unroll,pipeline,unroll_32,pipeline_1,pipeline_1,unroll,29.25,0.3389902438201364,False
workload_466.cpp,xczu7ev-ffvc1156-2-e,10.0,84.2401,283,13,1,1,14,cyclic_4_1,cyclic_8_1,complete_1,unroll_4,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_32,unroll_16,pipeline,unroll,7.25,0.7362839307306969,False
workload_468.cpp,xczu7ev-ffvc1156-2-e,10.0,9.84488,430,75,1,3,19,cyclic_2_1,block_32_1,block_4_1,unroll_4,unroll,unroll_2,unroll_2,pipeline,unroll_16,pipeline_1,pipeline_1,unroll,24.5,0.48832873219669215,False
workload_469.cpp,xczu7ev-ffvc1156-2-e,10.0,22.68618,275,13,1,1,14,cyclic_4_1,cyclic_8_1,complete_1,unroll_4,pipeline,pipeline_1,unroll_4,pipeline,unroll_32,unroll_16,pipeline,unroll,7.25,0.9252154173067282,False
