Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_211.cpp,xczu7ev-ffvc1156-2-e,10.0,397.08094,44,26,1,1,4,cyclic_2_1,cyclic_16_1,block_2_1,unroll_2,unroll_2,pipeline_1,8.0,0.7897552668148652,False
workload_212.cpp,xczu7ev-ffvc1156-2-e,10.0,378.94318,99,32,1,7,26,block_4_1,cyclic_64_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,16.5,0.6054757268842471,False
workload_213.cpp,xczu7ev-ffvc1156-2-e,10.0,384.92326,126,27,1,2,9,cyclic_128_1,block_8_1,complete_1,unroll_2,unroll_2,unroll_4,9.75,0.7847104745120198,False
workload_214.cpp,xczu7ev-ffvc1156-2-e,10.0,380.27438,126,41,2,3,26,cyclic_4_1,block_128_1,cyclic_2_1,unroll_2,unroll_2,unroll_8,18.0,0.5566431126167612,False
workload_215.cpp,xczu7ev-ffvc1156-2-e,10.0,308.44191,55,47,4,10,19,block_64_1,block_4_1,block_2_1,unroll_2,unroll_2,pipeline,20.0,0.5450855119349644,False
workload_216.cpp,xczu7ev-ffvc1156-2-e,10.0,378.26735,140,31,4,5,26,cyclic_8_1,block_64_1,cyclic_2_1,unroll_2,unroll_2,unroll_16,16.5,0.6061034977592556,False
workload_217.cpp,xczu7ev-ffvc1156-2-e,10.0,398.47437,46,26,1,9,16,block_2_1,block_8_1,complete_1,unroll_2,unroll_2,pipeline,13.0,0.693871480362677,False
workload_218.cpp,xczu7ev-ffvc1156-2-e,10.0,318.35295,142,26,1,3,20,cyclic_8_1,cyclic_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_64,12.5,0.8061214404507363,False
workload_219.cpp,xczu7ev-ffvc1156-2-e,10.0,380.59695,55,26,2,3,8,cyclic_8_1,block_8_1,block_4_1,unroll_2,unroll_2,unroll_8,9.75,0.7922784134211185,False
workload_220.cpp,xczu7ev-ffvc1156-2-e,10.0,306.7361,49,25,1,3,8,cyclic_4_1,block_4_1,block_2_1,unroll_4,unroll_2,pipeline,9.25,0.9332246769291966,False
workload_221.cpp,xczu7ev-ffvc1156-2-e,10.0,378.94309,107,31,1,7,22,block_2_1,cyclic_64_1,complete_1,unroll_2,unroll_2,unroll_8,15.25,0.6465391347969766,False
workload_222.cpp,xczu7ev-ffvc1156-2-e,10.0,397.7361,52,26,1,1,7,cyclic_8_1,cyclic_8_1,complete_1,unroll_4,unroll_2,pipeline_1,8.75,0.7806117324862584,False
workload_223.cpp,xczu7ev-ffvc1156-2-e,10.0,399.14031,58,52,4,9,21,block_64_1,cyclic_64_1,cyclic_2_1,unroll_2,unroll_2,pipeline_1,21.5,0.44025514026205526,False
workload_224.cpp,xczu7ev-ffvc1156-2-e,10.0,307.77614,46,25,1,9,16,block_2_1,block_4_1,cyclic_4_1,unroll_2,unroll_2,pipeline,12.75,0.8051347794808889,False
workload_225.cpp,xczu7ev-ffvc1156-2-e,10.0,398.08991,47,26,1,2,7,cyclic_8_1,block_32_1,block_2_1,unroll_2,unroll_2,pipeline_1,9.0,0.776166885887221,False
workload_226.cpp,xczu7ev-ffvc1156-2-e,10.0,586.6025,63,26,1,2,10,cyclic_2_1,cyclic_16_1,block_2_1,unroll_4,unroll_4,pipeline_1,9.75,0.45062203005292967,False
