Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Area,Weight,is_pareto
workload_144.cpp,xczu7ev-ffvc1156-2-e,10.0,11.01176,202,26,2,17,43,block_16_1,cyclic_2_1,cyclic_128_1,block_2_1,block_64_1,block_8_1,block_8_1,block_4_1,cyclic_2_1,complete_1,unroll_32,unroll_4,unroll_32,pipeline,22.0,0.6211108031902343,False
workload_146.cpp,xczu7ev-ffvc1156-2-e,10.0,8.73716,272,25,11,19,32,cyclic_16_1,block_128_1,block_8_1,cyclic_4_1,block_32_1,block_64_1,block_128_1,block_8_1,cyclic_4_1,complete_1,pipeline_1,unroll_2,unroll_8,pipeline_1,21.75,0.6285934407194832,False
workload_147.cpp,xczu7ev-ffvc1156-2-e,10.0,17.04852,523,24,1,10,23,cyclic_2_1,block_128_1,block_32_1,cyclic_2_1,block_32_1,cyclic_128_1,block_8_1,cyclic_128_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_16,unroll_8,14.5,0.7816585092678622,False
workload_148.cpp,xczu7ev-ffvc1156-2-e,10.0,10.82416,903,23,1,13,66,cyclic_64_1,cyclic_128_1,cyclic_2_1,cyclic_32_1,block_64_1,block_8_1,block_2_1,block_32_1,block_64_1,complete_1,unroll_64,unroll_8,unroll_64,pipeline_1,25.75,0.5366460219293165,False
workload_149.cpp,xczu7ev-ffvc1156-2-e,10.0,17.47928,470,28,1,4,48,cyclic_64_1,cyclic_64_1,block_32_1,cyclic_4_1,cyclic_128_1,cyclic_4_1,cyclic_4_1,block_32_1,cyclic_8_1,complete_1,unroll_2,unroll_2,unroll_64,unroll_64,20.25,0.6483661769878012,False
workload_150.cpp,xczu7ev-ffvc1156-2-e,10.0,8.60532,1671,44,81,41,84,cyclic_128_1,cyclic_8_1,block_4_1,block_4_1,block_64_1,block_64_1,cyclic_32_1,cyclic_128_1,block_32_1,complete_1,pipeline,pipeline,unroll_32,unroll_16,62.5,0.10347661261371652,False
workload_152.cpp,xczu7ev-ffvc1156-2-e,10.0,35.27973,304,18,1,8,25,cyclic_2_1,cyclic_4_1,block_2_1,block_128_1,block_32_1,cyclic_4_1,block_2_1,cyclic_32_1,block_4_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,13.0,0.6550443682731735,False
workload_153.cpp,xczu7ev-ffvc1156-2-e,10.0,17.11957,780,19,1,6,26,cyclic_2_1,cyclic_64_1,cyclic_8_1,cyclic_2_1,cyclic_2_1,cyclic_16_1,cyclic_128_1,cyclic_4_1,cyclic_4_1,complete_1,unroll_32,unroll_32,unroll_2,unroll_8,13.0,0.8119037054667744,False
workload_154.cpp,xczu7ev-ffvc1156-2-e,10.0,22.01052,294,18,2,12,26,block_4_1,block_128_1,cyclic_64_1,cyclic_4_1,cyclic_128_1,block_128_1,cyclic_8_1,block_32_1,block_8_1,complete_1,unroll_4,unroll_2,unroll_16,unroll_8,14.5,0.7477908472773341,False
workload_155.cpp,xczu7ev-ffvc1156-2-e,10.0,8.56273,454,24,40,25,65,cyclic_64_1,cyclic_4_1,block_4_1,block_2_1,cyclic_2_1,cyclic_4_1,cyclic_128_1,cyclic_2_1,block_16_1,complete_1,pipeline_1,pipeline_1,unroll_2,unroll_8,38.5,0.30477066558381677,False
workload_157.cpp,xczu7ev-ffvc1156-2-e,10.0,8.64489,1722,48,81,40,86,cyclic_128_1,block_32_1,cyclic_2_1,block_2_1,cyclic_2_1,cyclic_16_1,cyclic_128_1,cyclic_2_1,block_16_1,complete_1,pipeline,unroll_32,unroll_2,unroll_16,63.75,0.10147937517149612,False
workload_158.cpp,xczu7ev-ffvc1156-2-e,10.0,19.03957,115,26,1,2,12,cyclic_8_1,cyclic_32_1,block_2_1,cyclic_32_1,cyclic_2_1,cyclic_2_1,cyclic_32_1,cyclic_8_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_2,unroll_16,10.25,0.8354717045411323,False
workload_160.cpp,xczu7ev-ffvc1156-2-e,10.0,35.27077,204,20,1,10,21,cyclic_2_1,cyclic_4_1,block_2_1,block_8_1,block_32_1,cyclic_4_1,block_4_1,cyclic_32_1,block_4_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,13.0,0.6551250966144847,False
workload_161.cpp,xczu7ev-ffvc1156-2-e,10.0,23.94964,227,17,1,7,19,cyclic_2_1,cyclic_64_1,block_128_1,cyclic_2_1,cyclic_4_1,cyclic_128_1,block_4_1,cyclic_64_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_16,unroll_2,11.0,0.7801306735132604,False
workload_162.cpp,xczu7ev-ffvc1156-2-e,10.0,22.01872,256,19,2,10,22,block_4_1,block_128_1,cyclic_64_1,cyclic_4_1,cyclic_128_1,cyclic_128_1,cyclic_8_1,block_32_1,cyclic_2_1,complete_1,unroll_4,unroll_2,unroll_16,unroll_8,13.25,0.7690158910662499,False
workload_164.cpp,xczu7ev-ffvc1156-2-e,10.0,26.04968,282,24,1,6,24,cyclic_16_1,cyclic_2_1,cyclic_4_1,block_2_1,block_64_1,cyclic_4_1,block_2_1,block_2_1,cyclic_2_1,complete_1,unroll_8,unroll_64,unroll_32,unroll_2,13.75,0.7277522244921257,False
workload_165.cpp,xczu7ev-ffvc1156-2-e,10.0,8.78416,113,22,1,5,19,cyclic_2_1,cyclic_128_1,cyclic_32_1,cyclic_32_1,block_64_1,cyclic_2_1,block_2_1,cyclic_4_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_64,pipeline_1,11.75,0.8899959024505324,False
workload_166.cpp,xczu7ev-ffvc1156-2-e,10.0,15.85076,379,17,1,6,22,cyclic_2_1,block_2_1,cyclic_2_1,cyclic_2_1,block_32_1,block_128_1,block_4_1,cyclic_128_1,cyclic_2_1,complete_1,unroll_16,pipeline_1,unroll_16,unroll_32,11.5,0.8480218414948716,False
workload_167.cpp,xczu7ev-ffvc1156-2-e,10.0,16.99157,126,19,1,2,13,cyclic_2_1,cyclic_8_1,block_2_1,cyclic_64_1,cyclic_4_1,cyclic_2_1,cyclic_32_1,cyclic_8_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_2,unroll_16,8.75,0.8745994394858393,False
workload_168.cpp,xczu7ev-ffvc1156-2-e,10.0,15.9484,186,17,1,5,16,cyclic_2_1,block_2_1,cyclic_2_1,cyclic_2_1,cyclic_128_1,cyclic_128_1,block_4_1,block_32_1,cyclic_8_1,complete_1,unroll_4,unroll_2,unroll_64,unroll_32,9.75,0.8707463380033884,False
workload_169.cpp,xczu7ev-ffvc1156-2-e,10.0,7.10145,139,17,1,9,16,cyclic_2_1,cyclic_4_1,cyclic_2_1,cyclic_2_1,cyclic_128_1,cyclic_128_1,cyclic_2_1,cyclic_2_1,block_8_1,complete_1,pipeline_1,unroll_2,unroll_2,unroll_8,10.75,0.9210441478282144,False
workload_170.cpp,xczu7ev-ffvc1156-2-e,10.0,10.84752,116,27,1,4,19,cyclic_8_1,block_8_1,cyclic_32_1,cyclic_64_1,block_64_1,cyclic_2_1,cyclic_32_1,cyclic_8_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_64,pipeline_1,12.75,0.8559988067447488,False
workload_171.cpp,xczu7ev-ffvc1156-2-e,10.0,10.76052,573,21,1,10,39,cyclic_64_1,cyclic_128_1,cyclic_2_1,cyclic_32_1,block_32_1,cyclic_128_1,cyclic_16_1,cyclic_128_1,block_32_1,complete_1,unroll_32,pipeline_1,unroll_64,pipeline_1,17.75,0.7258557284016494,False
workload_172.cpp,xczu7ev-ffvc1156-2-e,10.0,16.90452,591,17,1,7,23,cyclic_2_1,block_2_1,cyclic_4_1,cyclic_2_1,block_32_1,cyclic_16_1,cyclic_128_1,cyclic_128_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_16,unroll_16,12.0,0.8313837126194716,False
workload_173.cpp,xczu7ev-ffvc1156-2-e,10.0,6.86693,125,20,3,13,18,cyclic_4_1,cyclic_8_1,block_2_1,block_8_1,block_4_1,cyclic_64_1,cyclic_64_1,block_128_1,cyclic_8_1,complete_1,pipeline,unroll_2,unroll_2,unroll_16,13.5,0.8435188523540482,False
workload_174.cpp,xczu7ev-ffvc1156-2-e,10.0,7.59693,708,18,1,37,58,block_2_1,cyclic_4_1,block_2_1,block_2_1,block_32_1,cyclic_4_1,cyclic_128_1,cyclic_2_1,cyclic_8_1,complete_1,pipeline,unroll_4,unroll_2,unroll_8,28.5,0.4801045454665488,False
