Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Area,Weight,is_pareto
workload_484.cpp,xczu7ev-ffvc1156-2-e,10.0,995.23164,261,67,1,29,56,cyclic_32_1,cyclic_64_1,block_32_1,pipeline,pipeline,unroll_32,unroll_64,unroll_32,unroll_8,unroll,pipeline,unroll_8,38.25,0.6417299390530872,False
workload_485.cpp,xczu7ev-ffvc1156-2-e,10.0,112.97029,81,41,7,9,16,cyclic_2_1,block_8_1,block_32_1,unroll,pipeline,pipeline,unroll_64,unroll_64,unroll_4,unroll_4,pipeline_1,unroll_8,18.25,0.9161382468239769,False
workload_486.cpp,xczu7ev-ffvc1156-2-e,10.0,594.1033,270,46,1,36,63,cyclic_2_1,cyclic_32_1,cyclic_2_1,pipeline,pipeline,unroll_32,unroll_32,unroll_64,pipeline_1,unroll_16,pipeline,unroll_8,36.5,0.6709029507936214,False
workload_487.cpp,xczu7ev-ffvc1156-2-e,10.0,92.07962,164,57,68,28,54,cyclic_32_1,cyclic_128_1,block_32_1,pipeline,pipeline_1,pipeline,unroll_32,unroll_64,unroll_8,unroll_4,pipeline_1,unroll,51.75,0.5159202784392128,False
workload_488.cpp,xczu7ev-ffvc1156-2-e,10.0,102.46362,80,41,13,12,18,cyclic_4_1,cyclic_2_1,cyclic_2_1,pipeline,pipeline,pipeline,unroll_64,unroll_64,unroll_4,unroll_4,pipeline,unroll_2,21.0,1.0,True
workload_489.cpp,xczu7ev-ffvc1156-2-e,10.0,587.30394,91,60,1,4,19,cyclic_32_1,block_8_1,cyclic_2_1,pipeline,pipeline_1,unroll_2,unroll_32,unroll_64,unroll_8,unroll_4,pipeline_1,unroll_8,21.0,0.8668534506939926,False
workload_490.cpp,xczu7ev-ffvc1156-2-e,10.0,681.67322,91,50,1,2,12,cyclic_2_1,block_32_1,block_32_1,pipeline,pipeline,unroll_2,unroll_64,unroll_64,unroll_16,unroll_16,pipeline_1,unroll_2,16.25,0.9393191133916743,False
workload_491.cpp,xczu7ev-ffvc1156-2-e,10.0,5858.01824,61,41,1,1,4,cyclic_2_1,cyclic_4_1,cyclic_4_1,unroll,pipeline,unroll_2,unroll_32,unroll_8,unroll_4,unroll_4,unroll,unroll_2,11.75,0.7750750318326166,False
workload_492.cpp,xczu7ev-ffvc1156-2-e,10.0,170.29941,73,40,7,8,13,cyclic_2_1,cyclic_2_1,cyclic_8_1,pipeline,pipeline,pipeline,unroll_32,unroll_8,unroll_8,unroll_4,pipeline_1,unroll_8,17.0,1.0,True
workload_493.cpp,xczu7ev-ffvc1156-2-e,10.0,597.7897,70,42,1,3,8,cyclic_2_1,block_4_1,cyclic_2_1,pipeline,pipeline,unroll_2,unroll_32,unroll_64,unroll_16,unroll_4,pipeline_1,unroll_2,13.5,0.9849144471111289,False
workload_494.cpp,xczu7ev-ffvc1156-2-e,10.0,679.70714,107,61,1,4,13,cyclic_2_1,cyclic_128_1,block_32_1,pipeline,pipeline,unroll_4,unroll_64,unroll_64,pipeline_1,unroll_16,pipeline_1,unroll_8,19.75,0.8816151343495134,False
workload_495.cpp,xczu7ev-ffvc1156-2-e,10.0,92.00026,116,57,68,28,52,cyclic_32_1,cyclic_2_1,block_32_1,pipeline,pipeline,pipeline,unroll_64,unroll_64,unroll_8,unroll,pipeline,unroll_2,51.25,0.5209238883554465,False
workload_496.cpp,xczu7ev-ffvc1156-2-e,10.0,201.85461,148,47,7,19,32,block_16_1,cyclic_2_1,block_64_1,pipeline_1,pipeline_1,pipeline,unroll_32,unroll_8,pipeline,unroll_4,pipeline,unroll_8,26.25,0.8064958741662703,False
workload_497.cpp,xczu7ev-ffvc1156-2-e,10.0,527.00615,123,46,6,6,19,cyclic_2_1,block_4_1,block_32_1,unroll,pipeline,unroll_2,pipeline_1,unroll_64,pipeline,unroll_4,pipeline,unroll_2,19.25,0.8924730586988832,False
workload_498.cpp,xczu7ev-ffvc1156-2-e,10.0,92.00093,165,57,68,28,54,cyclic_32_1,cyclic_128_1,block_64_1,unroll,pipeline,pipeline,unroll_64,unroll_64,unroll_8,unroll,pipeline_1,unroll_8,51.75,0.5159217263762164,False
workload_499.cpp,xczu7ev-ffvc1156-2-e,10.0,679.70456,136,41,1,5,16,cyclic_2_1,cyclic_2_1,block_128_1,pipeline,pipeline,unroll_4,pipeline,unroll_64,unroll_8,pipeline_1,pipeline,unroll_8,15.75,0.949689639556523,False
workload_500.cpp,xczu7ev-ffvc1156-2-e,10.0,171.29205,82,40,7,8,15,cyclic_2_1,cyclic_128_1,block_64_1,pipeline,pipeline,pipeline,unroll_32,unroll_8,unroll_4,unroll_4,pipeline,unroll_8,17.5,0.9251861037654371,False
workload_501.cpp,xczu7ev-ffvc1156-2-e,10.0,112.97029,80,41,7,9,15,cyclic_2_1,block_4_1,block_32_1,unroll,pipeline,pipeline,unroll_64,unroll_64,unroll_4,pipeline_1,pipeline,unroll_2,18.0,0.9195720080836575,False
workload_502.cpp,xczu7ev-ffvc1156-2-e,10.0,587.30138,96,60,1,4,20,cyclic_32_1,block_8_1,cyclic_2_1,pipeline,pipeline,unroll_2,unroll_64,unroll_64,unroll_16,unroll,pipeline_1,unroll_8,21.25,0.8634701392071482,False
workload_503.cpp,xczu7ev-ffvc1156-2-e,10.0,94.62237,134,47,34,18,36,cyclic_16_1,cyclic_128_1,block_32_1,unroll,pipeline,pipeline,unroll_64,unroll_64,unroll_8,unroll_4,pipeline_1,unroll_8,33.75,0.7147536280237766,False
workload_504.cpp,xczu7ev-ffvc1156-2-e,10.0,597.78714,69,42,1,3,8,cyclic_2_1,cyclic_2_1,cyclic_2_1,pipeline,pipeline_1,unroll_2,unroll_64,unroll_64,unroll_8,unroll_4,pipeline,unroll_8,13.5,0.9849145038820152,False
workload_505.cpp,xczu7ev-ffvc1156-2-e,10.0,809.04781,79,53,6,6,17,cyclic_16_1,block_4_1,block_32_1,unroll,pipeline,unroll_2,unroll_64,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,20.5,0.8678819404760889,False
workload_506.cpp,xczu7ev-ffvc1156-2-e,10.0,679.70714,80,41,1,4,10,cyclic_2_1,cyclic_4_1,block_128_1,pipeline,pipeline,unroll_4,unroll_64,unroll_64,unroll_8,pipeline_1,pipeline,unroll_2,14.0,0.97554370726554,False
workload_507.cpp,xczu7ev-ffvc1156-2-e,10.0,112.97029,108,40,7,9,15,cyclic_2_1,cyclic_128_1,block_32_1,unroll,pipeline,pipeline,unroll_64,unroll_64,unroll_4,unroll_4,pipeline,unroll_8,17.75,0.9230070080055647,False
workload_508.cpp,xczu7ev-ffvc1156-2-e,10.0,91.97338,121,58,68,28,54,cyclic_32_1,block_8_1,cyclic_2_1,pipeline,pipeline,pipeline,unroll_64,unroll_64,unroll_8,unroll_16,pipeline_1,unroll_2,52.0,0.5134324635755874,False
workload_509.cpp,xczu7ev-ffvc1156-2-e,10.0,5858.01717,60,41,1,1,4,cyclic_2_1,cyclic_4_1,cyclic_4_1,pipeline,pipeline,unroll_2,unroll_32,unroll_8,unroll_8,unroll_4,unroll,unroll_2,11.75,0.7750750840626431,False
workload_510.cpp,xczu7ev-ffvc1156-2-e,10.0,681.67322,97,61,1,3,9,cyclic_2_1,cyclic_128_1,block_32_1,pipeline,pipeline,unroll_2,unroll_64,unroll_64,unroll_8,unroll,pipeline,unroll,18.5,0.8988930218550191,False
workload_511.cpp,xczu7ev-ffvc1156-2-e,10.0,600.49306,284,51,1,36,64,cyclic_2_1,cyclic_64_1,cyclic_2_1,pipeline,pipeline,unroll_32,unroll_32,unroll_64,pipeline_1,unroll_16,pipeline,pipeline_1,38.0,0.6533569685618537,False
