Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_3837.cpp,xcu200-fsgd2104-2-e,5.0,69.14724,116,2,1,2,2,cyclic_2_1,block_2_2,block_2_1,complete_1,cyclic_4_1,cyclic_2_1,unroll_8,unroll_4,pipeline,pipeline_1,1.75,0.9653859965505777,False
workload_3838.cpp,xcu200-fsgd2104-2-e,5.0,74.71892,70,1,1,1,1,cyclic_16_1,complete_2,block_2_1,block_4_1,cyclic_2_1,complete_1,unroll_2,unroll_4,pipeline_1,pipeline_1,1.0,0.944791763129435,False
workload_3839.cpp,xcu200-fsgd2104-2-e,5.0,69.47461,140,5,3,1,2,cyclic_32_1,cyclic_2_1,block_4_2,complete_1,block_4_1,cyclic_4_1,unroll_2,unroll_4,pipeline_1,pipeline_1,2.75,0.9051424170886302,False
workload_3840.cpp,xcu200-fsgd2104-2-e,5.0,71.768775,62,1,2,1,1,cyclic_2_1,complete_2,block_2_2,cyclic_2_1,cyclic_2_1,complete_1,unroll_2,pipeline,pipeline_1,pipeline_1,1.25,0.9664522811354264,False
workload_3841.cpp,xcu200-fsgd2104-2-e,5.0,65.215305,77,3,2,2,2,cyclic_2_1,block_4_2,block_4_2,complete_1,complete_1,block_8_1,unroll_4,unroll_2,pipeline_1,unroll_8,2.25,0.9448304634378233,False
workload_3842.cpp,xcu200-fsgd2104-2-e,5.0,76.35499,164,5,1,1,1,cyclic_2_1,block_8_1,cyclic_4_1,complete_1,block_4_1,complete_1,unroll_2,pipeline,pipeline_1,pipeline,2.0,0.9089406477786275,False
workload_3843.cpp,xcu200-fsgd2104-2-e,5.0,83.26516,176,3,1,4,5,cyclic_2_1,block_4_2,block_2_1,complete_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_8,unroll_32,pipeline,3.25,0.8160502052224413,False
workload_3844.cpp,xcu200-fsgd2104-2-e,5.0,78.770825,66,4,1,1,1,cyclic_8_1,block_2_2,cyclic_2_1,complete_1,cyclic_4_1,cyclic_4_1,unroll_2,pipeline,unroll_8,pipeline,1.75,0.9019593260840598,False
workload_3845.cpp,xcu200-fsgd2104-2-e,5.0,83.357725,183,3,1,3,4,cyclic_4_1,block_2_2,block_2_2,complete_1,block_8_1,cyclic_4_1,unroll_8,pipeline,unroll_8,pipeline,2.75,0.835694309966093,False
workload_3846.cpp,xcu200-fsgd2104-2-e,5.0,78.23881,60,2,1,1,1,cyclic_2_1,cyclic_2_1,block_2_1,cyclic_2_1,block_4_1,complete_1,unroll_2,unroll_4,unroll_4,pipeline_1,1.25,0.9166391594910235,False
workload_3847.cpp,xcu200-fsgd2104-2-e,5.0,66.52477,100,3,2,3,3,cyclic_2_1,block_2_2,block_4_2,complete_1,cyclic_4_1,cyclic_2_1,unroll_8,unroll_8,pipeline,pipeline,2.75,0.9096149725129065,False
workload_3848.cpp,xcu200-fsgd2104-2-e,5.0,66.52435,229,2,6,2,4,cyclic_2_1,block_2_2,block_2_2,complete_1,block_8_1,block_8_1,unroll_4,unroll_2,unroll_8,unroll,3.5,0.8580746680391796,False
workload_3849.cpp,xcu200-fsgd2104-2-e,5.0,74.71646,232,1,1,3,4,block_16_1,complete_2,block_2_1,complete_1,block_2_1,block_4_1,unroll_32,pipeline,pipeline,pipeline,2.25,0.9093640439395131,False
workload_3850.cpp,xcu200-fsgd2104-2-e,5.0,71.193045,102,3,1,1,2,cyclic_2_1,cyclic_2_1,cyclic_4_1,complete_1,cyclic_2_1,complete_1,unroll_8,pipeline,unroll_4,pipeline,1.75,0.9531444523757624,False
workload_3851.cpp,xcu200-fsgd2104-2-e,5.0,66.525855,150,2,2,5,5,cyclic_2_1,block_2_2,block_2_2,complete_1,block_4_1,complete_1,unroll_32,unroll_8,pipeline_1,unroll_2,3.5,0.8580742754268652,False
