Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,Area,Weight,is_pareto
workload_85.cpp,xczu7ev-ffvc1156-2-e,10.0,32.39897,731,16,1,10,84,cyclic_2_1,cyclic_8_1,cyclic_2_1,cyclic_32_1,unroll_8,unroll_16,unroll_64,unroll_8,27.75,0.3601710665177489,False
workload_86.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43223,385,12,1,2,44,block_4_1,block_32_1,block_4_1,block_2_1,unroll_2,unroll_4,unroll_64,pipeline,14.75,0.7452330321662622,False
workload_87.cpp,xczu7ev-ffvc1156-2-e,10.0,57.82937,1123,18,1,6,86,block_4_1,cyclic_64_1,cyclic_64_1,cyclic_16_1,unroll_8,unroll_16,unroll_16,unroll_2,27.75,0.10000000000000002,False
workload_88.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43747,64,20,1,1,7,block_2_1,block_2_1,cyclic_64_1,block_32_1,unroll_2,unroll_2,pipeline,pipeline_1,7.25,0.8965364735272384,False
workload_99.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43197,279,11,1,6,45,block_2_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,unroll_8,unroll_2,unroll_32,unroll_4,15.75,0.724077594800508,False
workload_102.cpp,xczu7ev-ffvc1156-2-e,10.0,32.64205,97,13,1,2,15,cyclic_8_1,cyclic_16_1,cyclic_8_1,cyclic_8_1,unroll_8,unroll_2,unroll_4,pipeline,7.75,0.8789352365026496,False
workload_103.cpp,xczu7ev-ffvc1156-2-e,10.0,32.70219,102,22,1,1,9,cyclic_64_1,cyclic_64_1,block_4_1,block_2_1,unroll_4,unroll_32,pipeline_1,unroll_8,8.25,0.8666512307671312,False
workload_110.cpp,xczu7ev-ffvc1156-2-e,10.0,33.54671,510,20,1,2,17,cyclic_64_1,cyclic_4_1,cyclic_16_1,cyclic_128_1,unroll_2,unroll_16,pipeline_1,unroll_16,10.0,0.8018944624978908,False
workload_111.cpp,xczu7ev-ffvc1156-2-e,10.0,38.01481,1109,21,1,2,56,cyclic_64_1,cyclic_4_1,block_2_1,block_32_1,unroll_8,unroll_8,unroll_8,unroll_2,20.0,0.4756795724532573,False
workload_113.cpp,xczu7ev-ffvc1156-2-e,10.0,41.44063,506,20,1,30,38,cyclic_64_1,cyclic_8_1,cyclic_64_1,block_16_1,unroll_2,unroll_32,unroll_4,unroll_64,22.25,0.3508113630470212,False
workload_116.cpp,xczu7ev-ffvc1156-2-e,10.0,32.70687,159,16,1,3,25,block_2_1,cyclic_8_1,cyclic_32_1,cyclic_4_1,unroll_2,unroll_16,unroll_64,unroll_4,11.25,0.8058787647317147,False
workload_117.cpp,xczu7ev-ffvc1156-2-e,10.0,31.96592,1440,28,1,5,89,block_16_1,block_32_1,block_32_1,cyclic_8_1,unroll_8,unroll,unroll_16,unroll_8,30.75,0.29244840709887693,False
workload_120.cpp,xczu7ev-ffvc1156-2-e,10.0,32.60255,106,21,1,1,13,cyclic_64_1,cyclic_2_1,cyclic_16_1,block_2_1,unroll_2,unroll_8,pipeline_1,unroll_64,9.0,0.8548500447749187,False
workload_121.cpp,xczu7ev-ffvc1156-2-e,10.0,33.85859,118,12,1,2,17,cyclic_2_1,block_4_1,block_4_1,block_2_1,unroll_4,unroll_4,unroll_16,unroll_4,8.0,0.8261987554768906,False
workload_122.cpp,xczu7ev-ffvc1156-2-e,10.0,32.54669,197,21,1,1,29,cyclic_2_1,cyclic_16_1,block_32_1,cyclic_8_1,unroll_8,unroll_2,unroll_4,pipeline,13.0,0.7761254530447353,False
workload_123.cpp,xczu7ev-ffvc1156-2-e,10.0,32.53787,78,12,1,2,8,block_4_1,block_32_1,block_4_1,block_2_1,unroll_4,unroll_8,pipeline_1,unroll_8,5.75,0.9234583020450383,False
