model,target,target_group,kernel,count,kendall_tau_b,spearman_rho,mae,rmse,top1_best_actual,top1_regret,top1_oracle_recall,top5_best_actual,top5_regret,top5_oracle_recall,top10_best_actual,top10_regret,top10_oracle_recall
Structured-MLIR,area,rodinia_pathfinder_0_baseline_0::xczu7ev-ffvc1156-2-e::10,rodinia_pathfinder_0_baseline_0,388,0.21858573619482424,0.33280867145146786,7.458813226109932,9.898401789661834,1.75,1.3333333333333335,0.0,1.75,1.3333333333333335,0.0,1.75,1.3333333333333335,0.0
Structured-MLIR,area,rodinia_pathfinder_0_baseline_0::xczu7ev-ffvc1156-2-e::3.33,rodinia_pathfinder_0_baseline_0,261,0.34528008293121065,0.4996070384068395,8.14368654755837,10.72351049734883,1.75,2.5,0.0,1.75,2.5,0.0,1.75,2.5,0.0
Structured-MLIR,area,rodinia_pathfinder_0_baseline_0::xczu7ev-ffvc1156-2-e::5,rodinia_pathfinder_0_baseline_0,360,0.1882345883827719,0.2921244470566495,7.1264998412749465,9.863170415532394,1.75,2.5,0.0,1.75,2.5,0.0,1.75,2.5,0.0
Structured-MLIR,area,rodinia_pathfinder_4_doublebuffer_0::xcu200-fsgd2104-2-e::10,rodinia_pathfinder_4_doublebuffer_0,622,0.5187037982929487,0.6707918540688583,5.899201874313928,6.077836173224397,0.25,3.0,0.0,0.0625,0.0,1.0,0.0625,0.0,1.0
Structured-MLIR,area,rodinia_pathfinder_4_doublebuffer_0::xcu200-fsgd2104-2-e::3.33,rodinia_pathfinder_4_doublebuffer_0,731,0.41567219846259795,0.5683640442826805,5.69802789700204,6.081598404080337,0.25,3.0,0.0,0.0625,0.0,1.0,0.0625,0.0,1.0
Structured-MLIR,area,rodinia_pathfinder_4_doublebuffer_0::xcu200-fsgd2104-2-e::5,rodinia_pathfinder_4_doublebuffer_0,748,0.5774659081400313,0.7715432818612652,5.3739089439874,5.620559112717178,0.0625,0.0,1.0,0.0625,0.0,1.0,0.0625,0.0,1.0
Structured-MLIR,area,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::10,rodinia_pathfinder_4_doublebuffer_0,751,0.3932215770140436,0.5493943317819016,4.1689298325384225,6.530711989988509,4.0,0.33333333333333326,0.0,3.0,0.0,1.0,3.0,0.0,1.0
Structured-MLIR,area,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::3.33,rodinia_pathfinder_4_doublebuffer_0,546,0.64734994455451,0.8162734138723591,3.355749214674111,4.241143816135276,2.75,0.0,1.0,2.75,0.0,1.0,2.75,0.0,1.0
Structured-MLIR,area,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::5,rodinia_pathfinder_4_doublebuffer_0,514,0.538094086969716,0.7324906802578887,2.8101405785335216,4.627779978646699,3.0,0.09090909090909083,0.0,2.75,0.0,1.0,2.75,0.0,1.0
Structured-MLIR,perf,machsuite-sort-radix::xcu200-fsgd2104-2-e::10,machsuite-sort-radix,590,0.25176733574675125,0.37407632273494074,0.2692809653387418,0.3269533667326247,2.235990047454834,0.048338199387457426,0.0,2.143549919128418,0.004997882291158717,0.0,2.143549919128418,0.004997882291158717,0.0
Structured-MLIR,perf,machsuite-sort-radix::xcu200-fsgd2104-2-e::3.33,machsuite-sort-radix,648,0.3258106509561513,0.483391532775543,1.0734557441009889,1.1051302562938332,0.7720771431922913,0.08672011965469073,0.0,0.7145414352416992,0.005737005493373859,0.0,0.7145414352416992,0.005737005493373859,0.0
Structured-MLIR,perf,machsuite-sort-radix::xcu200-fsgd2104-2-e::5,machsuite-sort-radix,623,0.14660770342172638,0.23186397174630838,1.1219474425509437,1.1541064118270656,1.0729550123214722,0.006123306066597722,0.0,1.0675350427627563,0.0010409329674714307,0.0,1.0675350427627563,0.0010409329674714307,0.0
Structured-MLIR,perf,machsuite-sort-radix::xczu7ev-ffvc1156-2-e::10,machsuite-sort-radix,683,0.28329151208944636,0.42038222771024186,0.3717282829535113,0.4709844528096077,2.144629955291748,0.005523137563338221,0.0,2.1337900161743164,0.00044076446421192905,0.0,2.1335299015045166,0.00031880807809581135,0.0
Structured-MLIR,perf,machsuite-sort-radix::xczu7ev-ffvc1156-2-e::3.33,machsuite-sort-radix,731,0.3748433701304973,0.5329568038921315,1.2414730278032453,1.2792273895154118,0.7142150402069092,0.00527759537562944,0.0,0.7142150402069092,0.00527759537562944,0.0,0.7142150402069092,0.00527759537562944,0.0
Structured-MLIR,perf,machsuite-sort-radix::xczu7ev-ffvc1156-2-e::5,machsuite-sort-radix,760,0.3266697889062247,0.4862105934006015,1.1206473855826702,1.1627876599221696,1.073114991188049,0.006197848273937767,0.0,1.0721549987792969,0.005297718927150363,0.0,1.0721549987792969,0.005297718927150363,0.0
Structured-MLIR,perf,machsuite-viterbi::xcu200-fsgd2104-2-e::10,machsuite-viterbi,615,0.3271744572290103,0.4841548188912219,9.307068089884625,12.138176085143723,3.02239990234375,0.001046620987222413,0.0,3.0198700428009038,0.0002087082593353884,0.0,3.0195300579071045,9.61021383318883e-05,0.0
Structured-MLIR,perf,machsuite-viterbi::xcu200-fsgd2104-2-e::3.33,machsuite-viterbi,478,0.4001591281778165,0.5802937690424627,7.756867791292569,10.720492185665739,4.390671730041504,3.2164443696006737,0.0,1.0414175987243652,9.284240042606307e-05,0.0,1.0414175987243652,9.284240042606307e-05,0.0
Structured-MLIR,perf,machsuite-viterbi::xcu200-fsgd2104-2-e::5,machsuite-viterbi,571,0.4399386312037864,0.6193643939623071,7.614167619261934,9.358329092021354,1.5582499504089355,0.00020215923199695673,0.0,1.5581049919128418,0.00010911395337909191,0.0,1.5581049919128418,0.00010911395337909191,0.0
Structured-MLIR,perf,machsuite-viterbi::xczu7ev-ffvc1156-2-e::10,machsuite-viterbi,519,0.3686938623375147,0.5291057521879431,13.630087263315817,19.992691699322577,6.91047477722168,1.2845752208601824,0.0,3.03358006477356,0.002889391814472564,0.0,3.026859998703003,0.0006677649476842795,0.0
Structured-MLIR,perf,machsuite-viterbi::xczu7ev-ffvc1156-2-e::3.33,machsuite-viterbi,615,0.43587844019974054,0.6139946185618801,6.210484204371184,10.910226085280572,4.5092644691467285,3.0719573634794806,0.0,1.123392105102539,0.014445878201638562,0.0,1.1233887672424316,0.01444286404619577,0.0
Structured-MLIR,perf,machsuite-viterbi::xczu7ev-ffvc1156-2-e::5,machsuite-viterbi,531,0.39829736730730847,0.5710256168110456,7.710020757702657,12.270793479452383,1.5666500329971311,0.00015959006130628062,0.0,1.5666500329971311,0.00015959006130628062,0.0,1.5666500329971311,0.00015959006130628062,0.0
