app_name,device_id,clock_period_nsec,design_latency_msec,bram_utilization,dsp_utilization,ff_utilization,lut_utilization,synthesis_time_sec
rodinia_streamcluster_1_tiling_0,xcu200-fsgd2104-2-e,5,17.562.775,0,0,0,0,2.854.826.259.613.030
rodinia_streamcluster_1_tiling_0,xcu200-fsgd2104-2-e,3.33,14.448.613.589.999.900,0,0,0,0,28.616.538.763.046.200
rodinia_streamcluster_1_tiling_0,xczu7ev-ffvc1156-2-e,10,2.897.131,16,0,0,0,2.915.376.305.580.130
rodinia_streamcluster_1_tiling_0,xczu7ev-ffvc1156-2-e,5,24.781.975,16,0,0,0,284.575.834.274.292
rodinia_streamcluster_1_tiling_0,xczu7ev-ffvc1156-2-e,3.33,2.199.476.655,16,0,0,0,2.828.045.964.241.020
rodinia-hotspot-1-tiling,xcu200-fsgd2104-2-e,10,521.210.977,1,0,0,0,2.759.126.901.626.580
rodinia-hotspot-1-tiling,xcu200-fsgd2104-2-e,5,3.948.232.165,1,0,0,0,27.555.970.907.211.300
rodinia-hotspot-1-tiling,xcu200-fsgd2104-2-e,3.33,35.269.044.484.500.000,1,0,0,0,2.758.951.473.236.080
rodinia-hotspot-1-tiling,xczu7ev-ffvc1156-2-e,10,655.428.705,29,0,0,0,2.806.894.588.470.450
rodinia-hotspot-1-tiling,xczu7ev-ffvc1156-2-e,5,5.625.953.765,29,0,0,0,2.806.335.186.958.310
rodinia-hotspot-1-tiling,xczu7ev-ffvc1156-2-e,3.33,525.881.645.613,29,0,0,0,28.238.828.897.476.100
rodinia_pathfinder_0_baseline_0,xcu200-fsgd2104-2-e,10,5.244.928,0,0,0,0,2.877.802.085.876.460
rodinia_pathfinder_0_baseline_0,xcu200-fsgd2104-2-e,5,314.624,0,0,0,0,3.204.206.037.521.360
rodinia_pathfinder_0_baseline_0,xcu200-fsgd2104-2-e,3.33,2.095.736.832,0,0,0,0,3.192.843.198.776.240
rodinia_pathfinder_0_baseline_0,xczu7ev-ffvc1156-2-e,10,5.244.928,0,0,0,0,328.941.445.350.647
rodinia_pathfinder_0_baseline_0,xczu7ev-ffvc1156-2-e,5,314.624,0,0,0,0,32.836.493.492.126.400
rodinia_pathfinder_0_baseline_0,xczu7ev-ffvc1156-2-e,3.33,244.491.264,0,0,0,0,29.170.355.319.976.800
rodinia_lc_gicov_0_baseline_0,xcu200-fsgd2104-2-e,10,42.500.501,0,0,0,0,3.481.276.822.090.140
rodinia_lc_gicov_0_baseline_0,xcu200-fsgd2104-2-e,5,368.752.505,0,0,0,0,31.318.115.234.375
rodinia_lc_gicov_0_baseline_0,xcu200-fsgd2104-2-e,3.33,31.385.416.833,0,0,0,0,3.120.474.123.954.770
rodinia_lc_gicov_0_baseline_0,xczu7ev-ffvc1156-2-e,10,57.375.501,0,0,0,0,34.807.605.266.571.000
rodinia_lc_gicov_0_baseline_0,xczu7ev-ffvc1156-2-e,5,536.877.505,0,0,0,0,3.474.279.451.370.230
