Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_4344.cpp,xcu200-fsgd2104-2-e,3.33,0.11798856,255,0,0,1,5,cyclic_128_1,block_2_1,cyclic_128_1,cyclic_2_1,complete_1,cyclic_2_1,unroll_4,pipeline_1,1,1.5,0.790203604972,False
workload_4506.cpp,xcu200-fsgd2104-2-e,3.33,0.36281016,266,0,0,0,3,cyclic_128_1,block_32_1,cyclic_128_1,block_4_1,cyclic_4_1,complete_1,unroll_2,unroll_2,1,0.75,0.192233005233,False
workload_4372.cpp,xcu200-fsgd2104-2-e,3.33,0.1341324,203,0,0,0,2,cyclic_128_1,block_32_1,cyclic_16_1,block_4_1,cyclic_2_1,complete_1,unroll_2,pipeline_1,1,0.5,0.798379620273,False
workload_4459.cpp,xcu200-fsgd2104-2-e,3.33,0.17260056,245,0,0,0,3,cyclic_128_1,block_32_1,cyclic_16_1,block_4_1,cyclic_2_1,complete_1,unroll_2,unroll_8,1,0.75,0.654489875963,False
workload_4485.cpp,xcu200-fsgd2104-2-e,3.33,0.09429228,749,0,0,2,3,cyclic_128_1,block_4_1,block_64_1,cyclic_2_1,block_2_1,block_8_1,pipeline_1,unroll_4,1,1.25,0.88072225725,False
workload_4402.cpp,xcu200-fsgd2104-2-e,3.33,0.09426231,766,0,0,1,2,cyclic_128_1,block_4_1,block_8_1,cyclic_4_1,block_4_1,complete_1,pipeline_1,unroll_8,1,0.75,0.914539671805,False
workload_4353.cpp,xcu200-fsgd2104-2-e,3.33,0.09426231,1023,0,0,1,3,cyclic_128_1,block_8_1,cyclic_128_1,cyclic_4_1,block_2_1,complete_1,pipeline_1,unroll_2,1,1,0.896676082928,False
workload_4431.cpp,xcu200-fsgd2104-2-e,3.33,0.09085239,673.5,0,0,1,2,cyclic_128_1,block_8_1,cyclic_4_1,cyclic_4_1,block_4_1,cyclic_8_1,pipeline_1,unroll_2,2,0.75,0.918735912692,False
workload_4891.cpp,xcu200-fsgd2104-2-e,3.33,0.11457864,215,0,0,0,4,cyclic_128_1,cyclic_16_1,block_2_1,block_4_1,cyclic_2_1,complete_1,unroll_4,pipeline_1,1,1,0.843303994504,False
workload_4440.cpp,xcu200-fsgd2104-2-e,3.33,0.3076254,399,0,0,0,5,cyclic_128_1,cyclic_2_1,cyclic_8_1,cyclic_4_1,cyclic_8_1,cyclic_8_1,unroll_16,unroll_2,1,1.25,0.283322840621,False
workload_4424.cpp,xcu200-fsgd2104-2-e,3.33,0.11558763,1667,0,0,3,9,cyclic_128_1,cyclic_8_1,cyclic_2_1,complete_1,cyclic_8_1,cyclic_8_1,unroll_64,pipeline_1,1,3,0.679065226432,False
workload_4395.cpp,xcu200-fsgd2104-2-e,3.33,0.119214,2106,0,0,3,11,cyclic_16_1,block_128_1,cyclic_64_1,complete_1,cyclic_4_1,block_8_1,unroll_64,pipeline_1,1,3.5,0.622774672717,False
workload_4463.cpp,xcu200-fsgd2104-2-e,3.33,0.11798856,336,0,0,0,4,cyclic_16_1,block_128_1,cyclic_8_1,block_4_1,block_2_1,block_8_1,unroll_8,pipeline_1,1,1,0.833056055034,False
workload_4507.cpp,xcu200-fsgd2104-2-e,3.33,0.11798856,347,0,0,0,4,cyclic_16_1,block_128_1,cyclic_8_1,cyclic_8_1,block_2_1,block_8_1,unroll_8,pipeline_1,1,1,0.833056055034,False
workload_4394.cpp,xcu200-fsgd2104-2-e,3.33,0.1181484,137,0,0,0,1,cyclic_16_1,block_16_1,block_64_1,cyclic_8_1,block_2_1,cyclic_2_1,unroll_2,pipeline_1,1,0.25,0.862346538088,False
workload_4347.cpp,xcu200-fsgd2104-2-e,3.33,0.22236408,163,0,0,0,2,cyclic_16_1,block_16_1,block_64_1,cyclic_8_1,block_2_1,cyclic_2_1,unroll_2,unroll_4,1,0.5,0.49829122269,False
workload_4465.cpp,xcu200-fsgd2104-2-e,3.33,0.22215096,127,0,0,0,1,cyclic_16_1,block_16_1,cyclic_8_1,cyclic_8_1,cyclic_4_1,cyclic_2_1,unroll_2,unroll_4,1,0.25,0.498987855249,False
workload_4462.cpp,xcu200-fsgd2104-2-e,3.33,0.22145832,192,0,0,0,2,cyclic_16_1,block_32_1,block_16_1,cyclic_8_1,block_2_1,cyclic_2_1,unroll_4,unroll_4,1,0.5,0.500954078274,False
workload_4400.cpp,xcu200-fsgd2104-2-e,3.33,0.2209788,188,0,0,0,2,cyclic_16_1,block_32_1,block_16_1,cyclic_8_1,complete_1,cyclic_2_1,unroll_4,unroll_4,1,0.5,0.502367398338,False
workload_4498.cpp,xcu200-fsgd2104-2-e,3.33,0.1181484,153,0,0,0,2,cyclic_16_1,block_64_1,block_64_1,cyclic_8_1,block_2_1,cyclic_2_1,unroll_2,pipeline_1,1,0.5,0.860429028484,False
workload_4336.cpp,xcu200-fsgd2104-2-e,3.33,0.11758896,357,0,0,1,5,cyclic_16_1,cyclic_128_1,cyclic_128_1,block_4_1,block_8_1,block_8_1,unroll_8,pipeline_1,1,1.5,0.79158944063,False
workload_4493.cpp,xcu200-fsgd2104-2-e,3.33,0.42813144,195,0,0,0,1,cyclic_16_1,cyclic_16_1,block_16_1,cyclic_8_1,complete_1,cyclic_2_1,unroll_4,unroll_4,1,0.25,0.123191493762,False
