Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_182.cpp,xczu7ev-ffvc1156-2-e,10,110.1859,192,0,1,5,8,cyclic_8_1,unroll_2,unroll_2,unroll_4,pipeline_1,6,3.5,0.964268270335,False
workload_273.cpp,xczu7ev-ffvc1156-2-e,10,431.2199,270,0,2,6,11,cyclic_8_1,unroll_2,unroll_2,unroll_4,unroll_4,1,4.75,0.451642359549,False
workload_329.cpp,xczu7ev-ffvc1156-2-e,10,115.92354,643,0,1,12,25,cyclic_8_1,unroll_2,unroll_2,unroll_8,pipeline_1,3,9.5,0.600704432218,False
workload_168.cpp,xczu7ev-ffvc1156-2-e,10,509.37842,1014,0,3,18,37,cyclic_8_1,unroll_2,unroll_2,unroll_8,unroll_4,2,14.5,0.213615451014,False
workload_240.cpp,xczu7ev-ffvc1156-2-e,10,110.36766,185,0,1,5,9,cyclic_8_1,unroll_2,unroll_4,unroll_2,pipeline_1,4,3.75,0.95510994883,False
workload_190.cpp,xczu7ev-ffvc1156-2-e,10,270.28966,867,0,5,20,33,cyclic_8_1,unroll_2,unroll_4,unroll_2,unroll_16,1,14.5,0.334786541829,False
workload_286.cpp,xczu7ev-ffvc1156-2-e,10,429.70766,444,0,3,12,20,cyclic_8_1,unroll_2,unroll_4,unroll_2,unroll_8,1,8.75,0.392057533549,False
workload_321.cpp,xczu7ev-ffvc1156-2-e,10,110.01766,814,0,1,9,14,cyclic_8_1,unroll_2,unroll_4,unroll_4,pipeline_1,4,6,0.805602725447,False
workload_241.cpp,xczu7ev-ffvc1156-2-e,10,109.97588,191,0,1,5,9,cyclic_8_1,unroll_4,unroll_2,unroll_2,pipeline_1,6,3.75,0.955504561814,False
workload_324.cpp,xczu7ev-ffvc1156-2-e,10,262.29588,886.5,0,4,16,23,cyclic_8_1,unroll_4,unroll_2,unroll_2,unroll_16,2,10.75,0.479403238327,False
workload_343.cpp,xczu7ev-ffvc1156-2-e,10,755.99188,224,0,1,5,9,cyclic_8_1,unroll_4,unroll_2,unroll_2,unroll_2,1,3.75,0.160042380372,False
workload_281.cpp,xczu7ev-ffvc1156-2-e,10,425.59188,269,0,2,6,11,cyclic_8_1,unroll_4,unroll_2,unroll_2,unroll_4,1,4.75,0.458814849505,False
workload_227.cpp,xczu7ev-ffvc1156-2-e,10,109.82188,830.5,0,1,8,14,cyclic_8_1,unroll_4,unroll_2,unroll_4,pipeline_1,4,5.75,0.821569048931,False
workload_322.cpp,xczu7ev-ffvc1156-2-e,10,109.75864,878,0,1,9,15,cyclic_8_1,unroll_4,unroll_4,unroll_2,pipeline_1,3,6.25,0.789815049446,False
workload_559.cpp,xczu7ev-ffvc1156-2-e,10,109.75881,833.5,0,2,9,15,cyclic_8_1,unroll_8,unroll_2,unroll_2,pipeline_1,2,6.5,0.774206052846,False
